game_date,athlete_display_name,team_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,home_away,team_winner
9/28/2025,Sydney Colson,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Sophie Cunningham,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Aari McDonald,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Caitlin Clark,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Bree Hall,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/26/2025,Bridget Carleton,Lynx,27,2,7,1,3,1,1,0,4,4,0,0,0,2,1,-5,6,TRUE,FALSE,FALSE,away,FALSE
9/26/2025,Alanna Smith,Lynx,12,0,4,0,3,0,0,1,0,1,1,0,0,0,1,-8,0,TRUE,FALSE,FALSE,away,FALSE
9/26/2025,Napheesa Collier,Lynx,37,8,15,1,3,0,0,2,4,6,3,0,3,4,5,-10,17,TRUE,FALSE,FALSE,away,FALSE
9/26/2025,Kayla McBride,Lynx,38,3,10,2,6,4,4,1,3,4,5,2,0,1,1,-8,12,TRUE,FALSE,FALSE,away,FALSE
9/26/2025,Courtney Williams,Lynx,37,6,16,2,5,0,0,1,4,5,3,2,0,1,3,-9,14,TRUE,FALSE,FALSE,away,FALSE
9/26/2025,Jessica Shepard,Lynx,8,0,1,0,0,0,0,1,0,1,2,1,0,1,0,3,0,FALSE,FALSE,FALSE,away,FALSE
9/26/2025,Maria Kliundikova,Lynx,18,4,6,0,0,0,0,3,3,6,1,0,3,0,2,0,8,FALSE,FALSE,FALSE,away,FALSE
9/26/2025,Natisha Hiedeman,Lynx,23,7,12,0,4,5,6,1,1,2,3,2,0,2,1,-3,19,FALSE,FALSE,FALSE,away,FALSE
9/26/2025,Camryn Taylor,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/26/2025,Anastasiia Olairi Kosu,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/26/2025,DiJonai Carrington,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
