athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Kathryn Westbeld,Mercury,2025-10-05,17.0,0.0,3,0,1,0,1,0,3,0,3,0.0,0,False,away,0.0,0.0,0.7645833333333334
Kalani Brown,Mercury,2025-10-05,4.0,2.0,0,0,1,0,1,0,1,0,0,2.0,2,False,away,0.0,0.42857142857142855,1.0
Sami Whitcomb,Mercury,2025-10-05,14.0,0.0,0,2,1,0,1,0,3,0,2,0.0,0,False,away,0.0,0.0,0.8087121212121211
Kitija Laksa,Mercury,2025-10-05,4.0,0.0,1,0,0,0,0,0,1,0,1,0.0,0,False,away,0.0,0.0,0.7515151515151515
Kiana Williams,Mercury,2025-10-05,4.0,2.0,1,0,0,0,0,1,1,0,0,0.0,0,False,away,1.0,0.25272108843537416,0.5
Lexi Held,Mercury,2025-10-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.4086607836607836,0.33870370370370373,0.8214285714285714
NaLyssa Smith,Aces,2025-10-05,21.0,3.0,5,1,1,1,1,1,4,0,0,1.0,2,True,home,0.25,0.24,0.5
Kierstan Bell,Aces,2025-10-05,7.0,2.0,0,0,0,0,0,1,2,0,1,0.0,0,True,home,0.5,0.0,0.75
A'ja Wilson,Aces,2025-10-05,32.0,28.0,14,3,1,0,3,13,23,0,0,2.0,4,True,home,0.5652173913043478,0.4203703703703702,0.5
Chelsea Gray,Aces,2025-10-05,35.0,10.0,8,10,3,3,3,4,9,1,3,1.0,2,True,home,0.4444444444444444,0.3333333333333333,0.5
Jackie Young,Aces,2025-10-05,34.0,32.0,8,2,1,0,3,12,20,3,7,5.0,5,True,home,0.6,0.42857142857142855,1.0
Cheyenne Parker-Tyus,Aces,2025-10-05,2.0,0.0,1,0,0,0,0,0,1,0,1,0.0,0,True,home,0.0,0.0,0.8125
Megan Gustafson,Aces,2025-10-05,13.0,2.0,0,0,0,0,0,1,3,0,2,0.0,0,True,home,0.3333333333333333,0.0,0.5166666666666667
Jewell Loyd,Aces,2025-10-05,30.0,9.0,7,0,3,2,0,3,8,3,7,0.0,0,True,home,0.375,0.42857142857142855,0.8172222222222222
Dana Evans,Aces,2025-10-05,26.0,5.0,0,5,0,0,3,2,5,1,2,0.0,0,True,home,0.4,0.5,0.8
Aaliyah Nye,Aces,2025-10-05,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.298234126984127,0.24211711711711714,0.84375
Kiah Stokes,Aces,2025-10-05,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,True,home,0.3108843537414966,0.14705882352941177,0.625
Alyssa Thomas,Mercury,2025-10-03,38.0,15.0,10,9,0,1,5,7,10,0,0,1.0,4,False,away,0.7,0.0,0.25
Natasha Mack,Mercury,2025-10-03,16.0,4.0,4,1,0,2,1,2,3,0,0,0.0,0,False,away,0.6666666666666666,0.0,0.48148148148148157
Satou Sabally,Mercury,2025-10-03,31.0,19.0,4,4,0,0,2,6,12,3,7,4.0,4,False,away,0.5,0.42857142857142855,1.0
Kahleah Copper,Mercury,2025-10-03,36.0,21.0,4,1,0,0,0,7,12,5,9,2.0,2,False,away,0.5833333333333334,0.5555555555555556,1.0
Monique Akoa Makani,Mercury,2025-10-03,26.0,11.0,2,3,2,0,3,3,6,2,3,3.0,3,False,away,0.5,0.6666666666666666,1.0
DeWanna Bonner,Mercury,2025-10-03,26.0,10.0,8,0,1,1,1,4,13,2,7,0.0,0,False,away,0.3076923076923077,0.2857142857142857,0.8221074902109385
Kathryn Westbeld,Mercury,2025-10-03,5.0,0.0,1,2,0,0,0,0,2,0,2,0.0,0,False,away,0.0,0.0,0.7645833333333334
