athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Elizabeth Williams,Sky,2025-07-27,23.0,9.0,8,0,1,2,1,4,6,0,0,1.0,2,False,home,0.6666666666666666,0.0,0.5
Kamilla Cardoso,Sky,2025-07-27,33.0,12.0,12,3,0,1,5,4,9,0,0,4.0,4,False,home,0.4444444444444444,0.5,1.0
Rachel Banham,Sky,2025-07-27,36.0,26.0,1,5,0,1,7,8,15,6,11,4.0,4,False,home,0.5333333333333333,0.5454545454545454,1.0
Rebecca Allen,Sky,2025-07-27,28.0,13.0,2,4,3,0,3,5,11,3,7,0.0,0,False,home,0.45454545454545453,0.42857142857142855,0.5966666666666667
Kia Nurse,Sky,2025-07-27,35.0,14.0,6,1,0,0,1,5,14,1,5,3.0,4,False,home,0.35714285714285715,0.2,0.75
Michaela Onyenwere,Sky,2025-07-27,14.0,0.0,1,2,1,0,0,0,3,0,1,0.0,0,False,home,0.0,0.0,0.8559523809523809
Maddy Westbeld,Sky,2025-07-27,23.0,4.0,1,2,2,0,2,2,6,0,1,0.0,0,False,home,0.3333333333333333,0.0,0.8333333333333334
Marquesha Davis,Sky,2025-07-27,8.0,0.0,1,0,0,1,1,0,1,0,0,0.0,0,False,home,0.0,0.0,0.875
Angel Reese,Sky,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.4609343307136177,0.15555555555555553,0.7286112355077872
Courtney Vandersloot,Sky,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.5079143079143079,0.3,0.8933333333333333
Moriah Jefferson,Sky,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.25,0.25,0.0
Ariel Atkins,Sky,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.4443187123334182,0.3652236652236653,0.873904761904762
Hailey Van Lith,Sky,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.29744005994005995,0.1568627450980392,0.7651515151515151
Cecilia Zandalasini,Valkyries,2025-07-27,15.0,0.0,2,1,1,0,3,0,1,0,1,0.0,0,False,away,0.0,0.0,0.7948717948717948
Janelle Salaun,Valkyries,2025-07-27,25.0,9.0,3,0,0,1,1,4,9,1,5,0.0,2,False,away,0.4444444444444444,0.2,0.0
Temi Fagbenle,Valkyries,2025-07-27,21.0,7.0,4,3,1,0,2,3,8,1,2,0.0,0,False,away,0.375,0.5,0.7018518518518518
Tiffany Hayes,Valkyries,2025-07-27,21.0,4.0,4,2,0,0,2,0,8,0,4,4.0,6,False,away,0.0,0.0,0.6666666666666666
Veronica Burton,Valkyries,2025-07-27,22.0,10.0,2,3,1,0,3,2,3,0,1,6.0,7,False,away,0.6666666666666666,0.0,0.8571428571428571
Laeticia Amihere,Valkyries,2025-07-27,16.0,4.0,1,2,4,1,3,1,7,0,1,2.0,3,False,away,0.14285714285714285,0.0,0.6666666666666666
Iliana Rupert,Valkyries,2025-07-27,22.0,13.0,4,1,1,1,4,5,7,3,4,0.0,0,False,away,0.7142857142857143,0.75,0.9285714285714286
Kate Martin,Valkyries,2025-07-27,21.0,9.0,1,1,0,0,1,3,11,3,10,0.0,0,False,away,0.2727272727272727,0.3,0.7787301587301588
Kaitlyn Chen,Valkyries,2025-07-27,16.0,3.0,2,1,0,0,3,1,1,1,1,0.0,0,False,away,1.0,1.0,0.8666666666666667
Carla Leite,Valkyries,2025-07-27,20.0,5.0,1,1,1,0,0,1,4,0,3,3.0,5,False,away,0.25,0.0,0.6
Kayla Thornton,Valkyries,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3542430998952738,0.2602186460882113,0.8393483709273182
Monique Billings,Valkyries,2025-07-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5099499859115244,0.3177083333333333,0.6907407407407409
Aneesah Morrow,Sun,2025-07-27,24.0,8.0,11,0,2,1,2,3,9,0,2,2.0,2,True,home,0.3333333333333333,0.0,1.0
Tina Charles,Sun,2025-07-27,19.0,24.0,6,2,2,1,1,8,11,1,1,7.0,7,True,home,0.7272727272727273,1.0,1.0
Bria Hartley,Sun,2025-07-27,21.0,15.0,0,3,1,0,3,4,8,4,8,3.0,4,True,home,0.5,0.5,0.75
Marina Mabrey,Sun,2025-07-27,20.0,15.0,0,4,0,0,3,6,13,2,8,1.0,1,True,home,0.46153846153846156,0.25,1.0
Saniya Rivers,Sun,2025-07-27,24.0,5.0,6,3,1,2,0,2,5,1,3,0.0,0,True,home,0.4,0.3333333333333333,0.75
Haley Peters,Sun,2025-07-27,13.0,2.0,2,1,0,0,3,1,2,0,1,0.0,0,True,home,0.5,0.0,0.7142857142857143
Olivia Nelson-Ododa,Sun,2025-07-27,9.0,0.0,0,0,0,1,1,0,0,0,0,0.0,0,True,home,0.5246302308802309,0.5,0.7160714285714285
Rayah Marshall,Sun,2025-07-27,10.0,2.0,2,0,0,0,0,1,2,0,0,0.0,0,True,home,0.5,0.0,0.5625
Lindsay Allen,Sun,2025-07-27,15.0,3.0,0,4,0,0,2,1,1,1,1,0.0,0,True,home,1.0,1.0,0.8645833333333334
Jacy Sheldon,Sun,2025-07-27,19.0,13.0,3,2,2,1,1,5,7,3,4,0.0,0,True,home,0.7142857142857143,0.75,0.8454545454545456
Leila Lacan,Sun,2025-07-27,21.0,8.0,2,2,6,0,0,4,7,0,1,0.0,0,True,home,0.5714285714285714,0.0,0.8333333333333333
Mamignan Toure,Sun,2025-07-27,5.0,0.0,0,0,0,0,0,0,1,0,0,0.0,0,True,home,0.0,0.3333333333333333,0.0
Nneka Ogwumike,Storm,2025-07-26,27.0,18.0,5,3,0,0,2,6,14,1,4,5.0,5,False,away,0.42857142857142855,0.25,1.0
Gabby Williams,Storm,2025-07-26,25.0,2.0,2,1,2,1,2,1,7,0,2,0.0,0,False,away,0.14285714285714285,0.0,0.8827160493827161
Ezi Magbegor,Storm,2025-07-26,26.0,8.0,3,0,0,4,0,4,8,0,1,0.0,0,False,away,0.5,0.0,0.6270114942528736
Skylar Diggins,Storm,2025-07-26,24.0,5.0,4,4,2,2,1,2,10,1,1,0.0,0,False,away,0.2,1.0,0.7981707317073171
Erica Wheeler,Storm,2025-07-26,32.0,12.0,1,6,1,0,5,5,14,2,7,0.0,1,False,away,0.35714285714285715,0.2857142857142857,0.0
Alysha Clark,Storm,2025-07-26,13.0,0.0,3,1,0,0,1,0,4,0,2,0.0,0,False,away,0.0,0.0,0.7833333333333332
Dominique Malonga,Storm,2025-07-26,14.0,8.0,9,0,2,2,2,3,4,0,0,2.0,2,False,away,0.75,0.29411764705882354,1.0
Tiffany Mitchell,Storm,2025-07-26,22.0,2.0,1,0,0,1,1,0,4,0,2,2.0,3,False,away,0.0,0.0,0.6666666666666666
Lexie Brown,Storm,2025-07-26,17.0,3.0,0,1,2,0,0,1,2,1,2,0.0,0,False,away,0.5,0.5,0.6666666666666666
Katie Lou Samuelson,Storm,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.0,0.0,0.0
Mackenzie Holmes,Storm,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.6666666666666666,0.0,0.0
Zia Cooke,Storm,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3546219983719984,0.38784461152882205,0.675
Shakira Austin,Mystics,2025-07-26,25.0,14.0,11,1,0,2,3,5,12,0,0,4.0,4,True,home,0.4166666666666667,0.15384615384615385,1.0
Kiki Iriafen,Mystics,2025-07-26,28.0,7.0,11,1,0,0,3,3,9,0,0,1.0,2,True,home,0.3333333333333333,0.22857142857142856,0.5
Brittney Sykes,Mystics,2025-07-26,25.0,11.0,4,5,1,0,1,5,13,1,4,0.0,0,True,home,0.38461538461538464,0.25,0.7416480449375186
Sug Sutton,Mystics,2025-07-26,25.0,13.0,3,2,1,0,3,5,9,1,2,2.0,2,True,home,0.5555555555555556,0.5,1.0
Sonia Citron,Mystics,2025-07-26,30.0,11.0,10,3,1,2,1,5,9,0,2,1.0,1,True,home,0.5555555555555556,0.0,1.0
Emily Engstler,Mystics,2025-07-26,13.0,2.0,2,0,1,1,1,1,4,0,1,0.0,0,True,home,0.25,0.0,0.6145833333333334
Stefanie Dolson,Mystics,2025-07-26,15.0,4.0,2,3,1,1,1,2,3,0,1,0.0,0,True,home,0.6666666666666666,0.0,0.7222222222222222
Lucy Olsen,Mystics,2025-07-26,13.0,2.0,1,1,1,1,1,1,3,0,1,0.0,0,True,home,0.3333333333333333,0.0,0.8541666666666666
Jade Melbourne,Mystics,2025-07-26,27.0,5.0,0,4,1,1,3,2,4,1,2,0.0,0,True,home,0.5,0.5,0.6826923076923077
Aaliyah Edwards,Mystics,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.430204081632653,0.0,0.6256666666666666
Georgia Amoore,Mystics,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.0,0.0,0.0
Dearica Hamby,Sparks,2025-07-26,34.0,17.0,10,1,1,0,2,8,11,1,1,0.0,2,True,away,0.7272727272727273,1.0,0.0
Azura Stevens,Sparks,2025-07-26,31.0,17.0,11,2,0,0,1,8,17,0,5,1.0,2,True,away,0.47058823529411764,0.0,0.5
Rickea Jackson,Sparks,2025-07-26,31.0,24.0,3,2,1,0,0,9,15,4,6,2.0,2,True,away,0.6,0.6666666666666666,1.0
Kelsey Plum,Sparks,2025-07-26,35.0,20.0,4,8,0,0,2,5,14,3,6,7.0,7,True,away,0.35714285714285715,0.5,1.0
Julie Allemand,Sparks,2025-07-26,38.0,4.0,6,10,0,0,5,2,6,0,4,0.0,0,True,away,0.3333333333333333,0.0,0.8055555555555556
Sania Feagin,Sparks,2025-07-26,6.0,4.0,1,0,0,0,1,2,2,0,0,0.0,0,True,away,1.0,0.0,0.0
Julie Vanloo,Sparks,2025-07-26,7.0,3.0,0,0,0,0,0,1,2,1,2,0.0,0,True,away,0.5,0.5,0.625
Rae Burrell,Sparks,2025-07-26,18.0,12.0,2,1,1,0,1,4,9,2,3,2.0,5,True,away,0.4444444444444444,0.6666666666666666,0.4
Emma Cannon,Sparks,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.47648809523809527,0.34259259259259256,0.6818181818181818
Cameron Brink,Sparks,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.4284832451499118,0.2885416666666667,0.75
Sarah Ashlee Barker,Sparks,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3520812520812522,0.32608695652173914,0.725
Breanna Stewart,Liberty,2025-07-26,3.0,3.0,1,0,0,0,0,1,2,1,1,0.0,0,False,home,0.5,1.0,0.8590580330818022
Leonie Fiebich,Liberty,2025-07-26,31.0,10.0,3,1,2,3,1,4,7,0,2,2.0,2,False,home,0.5714285714285714,0.0,1.0
Jonquel Jones,Liberty,2025-07-26,29.0,14.0,8,4,0,1,2,5,12,2,4,2.0,2,False,home,0.4166666666666667,0.5,1.0
Natasha Cloud,Liberty,2025-07-26,34.0,22.0,3,9,1,2,1,8,15,3,7,3.0,3,False,home,0.5333333333333333,0.42857142857142855,1.0
Sabrina Ionescu,Liberty,2025-07-26,36.0,30.0,8,6,4,0,3,12,22,2,7,4.0,4,False,home,0.5454545454545454,0.2857142857142857,1.0
Isabelle Harrison,Liberty,2025-07-26,13.0,7.0,1,0,1,0,0,2,4,0,0,3.0,4,False,home,0.5,0.19230769230769232,0.75
Stephanie Talbot,Liberty,2025-07-26,17.0,0.0,4,0,0,0,0,0,2,0,2,0.0,0,False,home,0.0,0.0,0.6683333333333333
Kennedy Burke,Liberty,2025-07-26,6.0,2.0,0,0,0,0,1,1,1,0,0,0.0,0,False,home,1.0,0.36081871345029237,0.7840909090909091
Rebekah Gardner,Liberty,2025-07-26,11.0,2.0,3,0,1,0,1,1,2,0,1,0.0,0,False,home,0.5,0.0,0.8055555555555555
Marine Johannes,Liberty,2025-07-26,19.0,9.0,2,1,0,0,1,2,6,2,6,3.0,4,False,home,0.3333333333333333,0.3333333333333333,0.75
Jaylyn Sherrod,Liberty,2025-07-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.28541666666666665,0.23809523809523808,0.7666666666666666
Li Yueru,Wings,2025-07-25,13.0,4.0,2,0,1,0,0,1,4,1,4,1.0,2,False,away,0.25,0.25,0.5
Luisa Geiselsoder,Wings,2025-07-25,30.0,9.0,9,2,1,1,1,4,7,1,4,0.0,0,False,away,0.5714285714285714,0.25,0.7
Arike Ogunbowale,Wings,2025-07-25,34.0,16.0,1,3,1,0,3,5,9,3,4,3.0,3,False,away,0.5555555555555556,0.75,1.0
Paige Bueckers,Wings,2025-07-25,37.0,17.0,1,6,4,0,2,7,15,2,5,1.0,1,False,away,0.4666666666666667,0.4,1.0
JJ Quinerly,Wings,2025-07-25,24.0,3.0,5,3,1,0,4,1,6,1,2,0.0,2,False,away,0.16666666666666666,0.5,0.0
DiJonai Carrington,Wings,2025-07-25,15.0,4.0,4,1,1,0,1,1,6,0,2,2.0,2,False,away,0.16666666666666666,0.0,1.0
Aziaha James,Wings,2025-07-25,19.0,13.0,3,1,0,0,0,5,9,1,4,2.0,4,False,away,0.5555555555555556,0.25,0.5
Haley Jones,Wings,2025-07-25,28.0,10.0,4,3,2,1,2,3,8,1,1,3.0,5,False,away,0.375,1.0,0.6
Teaira McCowan,Wings,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.6849567099567099,0.5,0.7916666666666666
Grace Berger,Wings,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.2634920634920635,0.05,0.6666666666666666
Cecilia Zandalasini,Valkyries,2025-07-25,30.0,10.0,3,4,1,0,3,3,7,2,4,2.0,2,True,home,0.42857142857142855,0.5,1.0
Janelle Salaun,Valkyries,2025-07-25,34.0,16.0,7,3,3,0,3,6,14,3,8,1.0,1,True,home,0.42857142857142855,0.375,1.0
Temi Fagbenle,Valkyries,2025-07-25,25.0,11.0,8,1,1,1,2,5,9,0,1,1.0,1,True,home,0.5555555555555556,0.0,1.0
Tiffany Hayes,Valkyries,2025-07-25,31.0,17.0,3,5,0,0,2,5,8,2,4,5.0,6,True,home,0.625,0.5,0.8333333333333334
Veronica Burton,Valkyries,2025-07-25,31.0,5.0,9,3,0,0,2,0,7,0,5,5.0,6,True,home,0.0,0.0,0.8333333333333334
Laeticia Amihere,Valkyries,2025-07-25,13.0,4.0,2,0,1,0,1,1,6,0,1,2.0,2,True,home,0.16666666666666666,0.0,1.0
Iliana Rupert,Valkyries,2025-07-25,15.0,9.0,5,2,1,0,1,3,7,2,4,1.0,1,True,home,0.42857142857142855,0.5,1.0
Kaitlyn Chen,Valkyries,2025-07-25,4.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.46916666666666657,0.36363636363636365,0.8666666666666667
Carla Leite,Valkyries,2025-07-25,17.0,14.0,2,3,1,0,3,4,6,0,1,6.0,6,True,home,0.6666666666666666,0.0,1.0
Kate Martin,Valkyries,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.301556039499736,0.31620209059233445,0.7787301587301588
Alyssa Thomas,Mercury,2025-07-25,35.0,20.0,13,8,2,0,3,8,15,0,0,4.0,6,False,away,0.5333333333333333,0.0,0.6666666666666666
Natasha Mack,Mercury,2025-07-25,18.0,9.0,2,0,1,2,0,4,4,0,0,1.0,2,False,away,1.0,0.0,0.5
Satou Sabally,Mercury,2025-07-25,22.0,6.0,5,3,0,0,2,3,13,0,6,0.0,0,False,away,0.23076923076923078,0.0,0.8454215406343062
Kahleah Copper,Mercury,2025-07-25,24.0,14.0,3,0,0,0,4,6,12,2,5,0.0,0,False,away,0.5,0.4,0.8971136887803555
Monique Akoa Makani,Mercury,2025-07-25,23.0,9.0,2,4,0,1,1,4,10,1,3,0.0,2,False,away,0.4,0.3333333333333333,0.0
DeWanna Bonner,Mercury,2025-07-25,26.0,9.0,4,2,1,0,1,3,9,2,6,1.0,2,False,away,0.3333333333333333,0.3333333333333333,0.5
Sami Whitcomb,Mercury,2025-07-25,24.0,6.0,2,3,0,0,1,2,9,1,8,1.0,1,False,away,0.2222222222222222,0.125,1.0
Kitija Laksa,Mercury,2025-07-25,18.0,0.0,2,0,1,0,1,0,3,0,1,0.0,0,False,away,0.0,0.0,0.7515151515151515
Lexi Held,Mercury,2025-07-25,10.0,3.0,0,2,0,0,1,1,2,1,1,0.0,0,False,away,0.5,1.0,0.8214285714285714
Kathryn Westbeld,Mercury,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.37374826431430197,0.3238333333333333,0.7645833333333334
Kalani Brown,Mercury,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kiana Williams,Mercury,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.40410052910052907,0.25272108843537416,0.5
Breanna Stewart,Liberty,2025-07-25,31.0,6.0,8,5,2,2,3,3,12,0,3,0.0,0,True,home,0.25,0.0,0.8590580330818022
Leonie Fiebich,Liberty,2025-07-25,31.0,13.0,5,2,2,0,4,4,6,3,4,2.0,2,True,home,0.6666666666666666,0.75,1.0
Jonquel Jones,Liberty,2025-07-25,29.0,20.0,11,1,1,1,1,5,14,1,4,9.0,9,True,home,0.35714285714285715,0.25,1.0
Natasha Cloud,Liberty,2025-07-25,29.0,10.0,4,3,1,1,1,2,7,1,4,5.0,6,True,home,0.2857142857142857,0.25,0.8333333333333334
Sabrina Ionescu,Liberty,2025-07-25,34.0,29.0,5,8,1,1,5,11,21,4,11,3.0,3,True,home,0.5238095238095238,0.36363636363636365,1.0
Stephanie Talbot,Liberty,2025-07-25,4.0,2.0,0,0,0,0,1,1,2,0,1,0.0,0,True,home,0.5,0.0,0.6683333333333333
Kennedy Burke,Liberty,2025-07-25,22.0,4.0,2,2,1,2,1,1,5,0,3,2.0,2,True,home,0.2,0.0,1.0
Rebekah Gardner,Liberty,2025-07-25,3.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,True,home,0.4126068376068376,0.4666666666666667,0.8055555555555555
Marine Johannes,Liberty,2025-07-25,16.0,5.0,2,0,0,1,0,2,2,1,1,0.0,0,True,home,1.0,1.0,0.84375
Jaylyn Sherrod,Liberty,2025-07-25,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.28541666666666665,0.23809523809523808,0.7666666666666666
Isabelle Harrison,Liberty,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.42045669384379053,0.19230769230769232,0.7352941176470589
Nyara Sabally,Liberty,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4575892857142857,0.125,0.7404761904761905
NaLyssa Smith,Aces,2025-07-25,23.0,8.0,5,0,1,1,0,3,5,0,0,2.0,4,False,away,0.6,0.24,0.5
A'ja Wilson,Aces,2025-07-25,24.0,15.0,7,3,0,3,0,5,11,0,0,5.0,6,False,away,0.45454545454545453,0.4203703703703702,0.8333333333333334
Chelsea Gray,Aces,2025-07-25,22.0,9.0,2,0,0,0,2,4,7,1,3,0.0,0,False,away,0.5714285714285714,0.3333333333333333,0.8957801006581495
Jewell Loyd,Aces,2025-07-25,21.0,0.0,3,1,1,0,0,0,10,0,4,0.0,0,False,away,0.0,0.0,0.8172222222222222
Jackie Young,Aces,2025-07-25,27.0,14.0,3,5,2,0,0,4,9,2,4,4.0,4,False,away,0.4444444444444444,0.5,1.0
Kierstan Bell,Aces,2025-07-25,13.0,9.0,0,0,0,0,0,3,8,2,5,1.0,1,False,away,0.375,0.4,1.0
Kiah Stokes,Aces,2025-07-25,9.0,0.0,2,0,2,0,0,0,0,0,0,0.0,0,False,away,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-07-25,13.0,8.0,1,1,0,0,0,3,4,2,3,0.0,2,False,away,0.75,0.6666666666666666,0.0
Dana Evans,Aces,2025-07-25,25.0,8.0,4,5,0,0,3,3,10,0,2,2.0,4,False,away,0.3,0.0,0.5
Aaliyah Nye,Aces,2025-07-25,24.0,7.0,3,0,1,0,1,2,7,1,5,2.0,2,False,away,0.2857142857142857,0.2,1.0
Cheyenne Parker-Tyus,Aces,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3714285714285714,0.4,0.8125
Bridget Carleton,Lynx,2025-07-25,25.0,14.0,6,0,0,0,2,4,7,3,5,3.0,4,True,home,0.5714285714285714,0.6,0.75
Alanna Smith,Lynx,2025-07-25,19.0,4.0,6,4,3,1,1,1,4,0,3,2.0,6,True,home,0.25,0.0,0.3333333333333333
Napheesa Collier,Lynx,2025-07-25,26.0,25.0,9,2,1,0,2,7,12,1,2,10.0,13,True,home,0.5833333333333334,0.5,0.7692307692307693
Kayla McBride,Lynx,2025-07-25,28.0,13.0,3,3,0,0,0,4,12,3,7,2.0,2,True,home,0.3333333333333333,0.42857142857142855,1.0
Courtney Williams,Lynx,2025-07-25,27.0,23.0,3,5,0,0,0,10,12,3,4,0.0,0,True,home,0.8333333333333334,0.75,0.8686666666666667
Jessica Shepard,Lynx,2025-07-25,21.0,10.0,13,4,0,0,2,3,4,0,0,4.0,6,True,home,0.75,0.0,0.6666666666666666
Maria Kliundikova,Lynx,2025-07-25,14.0,2.0,3,1,1,0,0,1,4,0,0,0.0,0,True,home,0.25,0.26666666666666666,0.5909090909090909
Diamond Miller,Lynx,2025-07-25,16.0,7.0,0,0,0,0,1,3,5,0,1,1.0,2,True,home,0.6,0.0,0.5
Anastasiia Olairi Kosu,Lynx,2025-07-25,8.0,5.0,1,0,0,0,0,2,2,0,0,1.0,3,True,home,1.0,0.0,0.3333333333333333
Natisha Hiedeman,Lynx,2025-07-25,16.0,6.0,4,3,0,0,2,2,6,0,3,2.0,2,True,home,0.3333333333333333,0.0,1.0
Karlie Samuelson,Lynx,2025-07-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.31538461538461543,0.291025641025641,0.9166666666666666
Nneka Ogwumike,Storm,2025-07-24,20.0,10.0,3,1,2,0,2,5,10,0,3,0.0,0,True,away,0.5,0.0,0.8366096866096865
Gabby Williams,Storm,2025-07-24,24.0,10.0,4,7,3,1,1,4,9,0,3,2.0,2,True,away,0.4444444444444444,0.0,1.0
Ezi Magbegor,Storm,2025-07-24,23.0,9.0,5,1,1,3,0,3,6,0,1,3.0,5,True,away,0.5,0.0,0.6
Skylar Diggins,Storm,2025-07-24,25.0,21.0,7,3,0,2,2,7,14,3,6,4.0,4,True,away,0.5,0.5,1.0
Erica Wheeler,Storm,2025-07-24,24.0,13.0,3,4,1,0,0,5,10,3,4,0.0,0,True,away,0.5,0.75,0.8895833333333334
Alysha Clark,Storm,2025-07-24,19.0,4.0,4,3,0,0,0,2,2,0,0,0.0,0,True,away,1.0,0.29504504504504503,0.7833333333333332
Mackenzie Holmes,Storm,2025-07-24,6.0,0.0,1,0,1,0,0,0,0,0,0,0.0,0,True,away,0.6666666666666666,0.0,0.0
Dominique Malonga,Storm,2025-07-24,17.0,14.0,10,3,0,2,2,6,9,1,1,1.0,2,True,away,0.6666666666666666,1.0,0.5
Tiffany Mitchell,Storm,2025-07-24,18.0,0.0,1,0,1,0,0,0,3,0,0,0.0,0,True,away,0.0,0.35714285714285715,0.75
Lexie Brown,Storm,2025-07-24,16.0,12.0,0,2,2,0,2,5,5,2,2,0.0,0,True,away,1.0,1.0,0.6666666666666666
Zia Cooke,Storm,2025-07-24,8.0,2.0,1,1,0,0,1,0,1,0,0,2.0,2,True,away,0.0,0.38784461152882205,1.0
Katie Lou Samuelson,Storm,2025-07-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.0,0.0,0.0
Elizabeth Williams,Sky,2025-07-24,27.0,11.0,4,3,1,1,3,5,8,0,0,1.0,1,False,home,0.625,0.0,1.0
Kamilla Cardoso,Sky,2025-07-24,28.0,13.0,13,0,1,0,2,5,8,0,0,3.0,4,False,home,0.625,0.5,0.75
Rachel Banham,Sky,2025-07-24,29.0,13.0,2,1,0,1,4,4,11,2,8,3.0,4,False,home,0.36363636363636365,0.25,0.75
Rebecca Allen,Sky,2025-07-24,21.0,2.0,1,3,1,0,3,0,2,0,2,2.0,4,False,home,0.0,0.0,0.5
Kia Nurse,Sky,2025-07-24,32.0,5.0,7,0,0,0,2,2,11,1,6,0.0,0,False,home,0.18181818181818182,0.16666666666666666,0.8043478260869565
Maddy Westbeld,Sky,2025-07-24,25.0,3.0,2,2,1,1,2,1,9,1,4,0.0,0,False,home,0.1111111111111111,0.25,0.8333333333333334
Moriah Jefferson,Sky,2025-07-24,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.25,0.25,0.0
Hailey Van Lith,Sky,2025-07-24,24.0,8.0,1,5,0,0,1,3,8,0,0,2.0,2,False,home,0.375,0.1568627450980392,1.0
Marquesha Davis,Sky,2025-07-24,13.0,2.0,1,0,0,0,2,1,5,0,1,0.0,0,False,home,0.2,0.0,0.875
Michaela Onyenwere,Sky,2025-07-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.3874265301094569,0.3261904761904762,0.8559523809523809
Angel Reese,Sky,2025-07-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.4609343307136177,0.15555555555555553,0.7286112355077872
Courtney Vandersloot,Sky,2025-07-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.5079143079143079,0.3,0.8933333333333333
Ariel Atkins,Sky,2025-07-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.4443187123334182,0.3652236652236653,0.873904761904762
Dearica Hamby,Sparks,2025-07-24,30.0,20.0,11,2,1,0,1,8,9,0,1,4.0,11,True,away,0.8888888888888888,0.0,0.36363636363636365
Azura Stevens,Sparks,2025-07-24,31.0,17.0,8,4,2,3,1,5,12,4,7,3.0,4,True,away,0.4166666666666667,0.5714285714285714,0.75
Rickea Jackson,Sparks,2025-07-24,24.0,4.0,4,2,0,1,3,1,9,0,3,2.0,3,True,away,0.1111111111111111,0.0,0.6666666666666666
Kelsey Plum,Sparks,2025-07-24,29.0,30.0,2,6,2,0,3,10,15,4,7,6.0,7,True,away,0.6666666666666666,0.5714285714285714,0.8571428571428571
Julie Allemand,Sparks,2025-07-24,32.0,12.0,8,4,2,0,1,4,5,1,2,3.0,4,True,away,0.8,0.5,0.75
Emma Cannon,Sparks,2025-07-24,6.0,3.0,2,0,0,0,2,1,3,0,2,1.0,2,True,away,0.3333333333333333,0.0,0.5
Sania Feagin,Sparks,2025-07-24,5.0,0.0,1,0,0,1,1,0,1,0,0,0.0,0,True,away,0.0,0.0,0.0
Julie Vanloo,Sparks,2025-07-24,16.0,9.0,1,1,0,0,2,3,4,3,4,0.0,0,True,away,0.75,0.75,0.625
Rae Burrell,Sparks,2025-07-24,23.0,6.0,2,2,1,0,1,1,5,0,2,4.0,5,True,away,0.2,0.0,0.8
Sarah Ashlee Barker,Sparks,2025-07-24,3.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3520812520812522,0.32608695652173914,0.725
